"filename", "language", "JSON with Comments", "CSS", "JSON", "TypeScript", "HTML", "XML", "JavaScript", "Docker", "Markdown", "comment", "blank", "total"
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 8, 0, 7, 9, 24
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 14, 28
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\angular.json", "JSON", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 1, 114
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\package-lock.json", "JSON", 0, 0, 12412, 0, 0, 0, 0, 0, 0, 0, 1, 12413
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\package.json", "JSON", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\server.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 11, 57
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 10, 38
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\app.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\app.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\app.module.server.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\app.module.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 2, 55
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\bar\bar.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\bar\bar.component.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\bar\bar.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\carrito\carrito.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\carrito\carrito.component.html", "HTML", 0, 0, 0, 0, 86, 0, 0, 0, 0, 12, 29, 127
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\carrito\carrito.component.ts", "TypeScript", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 20, 125
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\checkout\checkout.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\checkout\checkout.component.html", "HTML", 0, 0, 0, 0, 231, 0, 0, 0, 0, 29, 55, 315
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\checkout\checkout.component.ts", "TypeScript", 0, 0, 0, 161, 0, 0, 0, 0, 0, 1, 38, 200
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\cuenta\perfil\perfil.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\cuenta\perfil\perfil.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\cuenta\perfil\perfil.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\cuenta\perfil\perfil.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\cuenta\sidebar-cuenta\sidebar-cuenta.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\cuenta\sidebar-cuenta\sidebar-cuenta.component.html", "HTML", 0, 0, 0, 0, 105, 0, 0, 0, 0, 19, 40, 164
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\cuenta\sidebar-cuenta\sidebar-cuenta.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\cuenta\sidebar-cuenta\sidebar-cuenta.component.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 8, 47
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\footer\footer.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
